name,iata,icao,callsign,country
Joy Air,JR,JOY,JOY AIR,China
Parmiss Airlines (IPV),PA,IPV,IPV,Iran
EuropeSky,ES,EUV,EuropeSky,Germany
BRAZIL AIR,GB,BZE,BRAZIL AIR,Brazil
Homer Air,MR,OME,,Germany
PanAm World Airways,WQ,PQW,,United States
Virginwings,YY,VWA,,Germany
KSY,KY,KSY,KSY,Greece
Buquebus Líneas Aéreas,BQ,BQB,,Uruguay
SOCHI AIR,CQ,KOL,SLOW FROG,Russia
Wizz Air Ukraine,WU,WAU,WIZZAIR UKRAINE,Ukraine
88,47,VVN,,Cyprus
LCM AIRLINES,LQ,LMM,,Russia
Azul,AD,AZU,,Brazil
LSM Airlines,PQ,LOO,slowbird,Russia
LionXpress,C4,LIX,LIX,Cameroon
Fly Dubai,FZ,FDB,,United Arab Emirates
Domenican Airlines,D1,MDO,Domenican,Dominican Republic
Aereonautica militare,JY,AXZ,,Italy
LSM AIRLINES ,YZ,YZZ,Moscow frog ,Russia
Zabaykalskii Airlines,ZP,ZZZ,Lakeair,Russia
Marysya Airlines,M4,1QA,MARSHAK AIR,Russia
Black Stallion Airways,BZ,BSA,Stallion,United States
German International Air Lines,GM,GER,,Germany
TrasBrasil,TB,TBZ,,Brazil
TransBrasil Airlines,TH,THS,,Brazil
Air Mekong,P8,MKG,Air Mekong,Vietnam
Air Hamburg (AHO),HH,AHO,Air Hamburg,Germany
ZABAIKAL AIRLINES,Z6,ZTT,BAIKAL ,Russia
TransHolding,TI,THI,,Brazil
Serbian Airlines,S1,SA1,,Serbia
TransHolding System,YO,TYS,,Brazil
CCML Airlines,CB,CCC,,Colombia
Fly Brasil,F1,FBL,FBL,Brazil
CB Airways UK ( Interliging Flights ),1F,CIF,,United Kingdom
Fly Colombia ( Interliging Flights ),3F,3FF,,Colombia
Trans Pas Air,T6,TP6,,United States
Himalayan Airlines,HC,HYM,Himalayan,Nepal
Indya Airline Group,G1,IG1,Indya1,India
Japan Regio,ZX,ZXY,,Japan
Sky Regional,RS,SKV,Sky Regional,Canada
LSM International ,II,UWW,moose,Russia
Baikotovitchestrian Airlines ,BU,BUU,,American Samoa
Luchsh Airlines ,L4,LJJ,russian sky,Russia
Mongolian International Air Lines ,7M,ZTF,Mongol_AIr ,Mongolia
Tway Airlines,TW,TWB,TWAY AIR,South Korea
Jusur airways,JX,JSR,,Egypt
NEXT Brasil,XB,NXB,XB,Brazil
AeroWorld ,W4,WER,sovet,Russia
Usa Sky Cargo,E1,ES2,USKY,United States
Hankook Airline,HN,HNX,HNX,South Korea
Marusya Airways,Y8,MRS,snowball,Russia
Era Alaska,7H,ERR,ERAH,United States
AirRussia,R8,RRJ,russiancloud,Russia
Hankook Air US,H1,HA1,,United States
I-Fly,H5,RSY,RUSSIAN SKY,Russia
VickJet,KT,VKJ,Vickjet,France
Salsa d\\'Haiti,SO,SLC,SALSA,Haiti
12 North,12,N12,12N,India
Mauritania Airlines International,L6,MAI,,Mauritania
MAT Airways,6F,MKD,,Macedonia
Asian Wings Airways,AW,AWM,Asian Star,Burma
Air Arabia Egypt,E5,RBG,,Egypt
Orchid Airlines,OI,ORC,,Australia
Asia Wings,Y5,AWA,,Kazakhstan
Nile Air,NP,NIA,NILEBIRD,Egypt
Senegal Airlines,DN,SGG,,Senegal
Copenhagen Express,0X,CX0,Copex,Denmark
BusinessAir,8B,BCC,,Thailand
Sky Wing Pacific,C7,CR7,,South Korea
Air Indus,PP,AI0,AIPL,Pakistan
Aviabus,U1,ABI,,Russia
Michael Airlines,DF,MJG,MJG,Puerto Rico
Korongo Airlines,ZC,KGO,KORONGO,Congo (Kinshasa)
Indonesia Sky,I5,IDS,,Indonesia
Aws express,B0,666,aws,United States
Southjet,76,SJS,,United States
Southjet connect,77,ZCS,,United States
Southjet cargo,78,XAN,,United States
Iberia Express,I2,IBS,,Spain
Nordic Global Airlines,NJ,NGB,Nordic Global,Finland
Scoot,TZ,SCO,,Singapore
Zenith International Airline,ZN,ZNA,ZENITH,Thailand
Orbit Airlines Azerbaijan,O1,OAB,Orbitaz,Azerbaijan
Vision Airlines (V2),V2,RBY,RUBY,United States
Yellowtail,YE,YEL,,United States
Royal Airways,KG,RAW,RAW,United States
FlyHigh Airlines Ireland (FH),FH,FHI,FLYHIRELAND,Ireland
T.J. Air,TJ,TJA,T.J. Air,United States
SOCHI AIR CHATER,Q3,QER,russian doll,Russia
Malindo Air,OD,MXD,Malindo,Malaysia
Maryland Air,M1,M1F,Maryland Flight,United States
VivaColombia,5Z,VVC,,Colombia
Apache Air,ZM,IWA,APACHE,United States
Jettor Airlines,NR,JTO,JETHAPPY,Hong Kong
National Air Cargo,N8,NCR,,United States
Eastern Atlantic Virtual Airlines,13,EAV,EAVA,United States
Snowbird Airlines,S8,SBD,,Finland
Kharkiv Airlines,KH,KHK,,Ukraine
XAIR USA,XA,XAU,XAIR,United States
XPTO,XP,XPT,XPTO,Portugal
Air Serbia,JU,ASL,AIR SERBIA,Serbia
Air Lituanica,LT,LTU,LITUANICA,Lithuania
Rainbow Air (RAI),RN,RAB,Rainbow,United States
Rainbow Air Canada,RY,RAY,Rainbow CAN,Canada
Rainbow Air Polynesia,RX,RPO,Rainbow Air,United States
Rainbow Air Euro,RU,RUE,Rainbow Air,United Kingdom
Rainbow Air US,RM,RNY,Rainbow Air,United States
Dobrolet,QD,DOB,DOBROLET,Russia
Spike Airlines,S0,SAL,Spike Air,United States
All Argentina,L1,AL1,,Argentina
All America,A2,AL2,,United States
All Asia,L9,AL3,,China
All Africa,9A,99F,,South Africa
Regionalia México,N4,J88,,Mexico
All Europe,N9,N99,,United Kingdom
All Spain,N7,N77,,Spain
Regional Air Iceland,9N,N78,,Iceland
Voestar,8K,K88,,Brazil
All Colombia,7O,7KK,,Colombia
Regionalia Uruguay,2X,2K2,,Uruguay
Regionalia Venezuela,9X,9XX,,Venezuela
Regionalia Chile,9J,CR1,,Chile
Vuela Cuba,6C,6CC,,Cuba
All Australia,88,8K8,,Australia
Fly Europa,ER,RWW,,Spain
FlyPortugal,PO,FPT,FlyPortugal,Portugal
Spring Airlines Japan,IJ,SJO,,Japan
Dense Airways,KP,DWA,DENSE,United States
Dense Connection,KZ,DC2,DC2,United States
Vuola Italia,4S,VI4,,Italy
All Argentina Express,Z0,Z9H,,Argentina
All America AR,2R,M7A,,Argentina
All America CL,1R,R1R,,Chile
SOCHI AIR EXPRESS,Q4,SAE,ADLER EXPRESS,Russia
All America BR,1Y,A9B,,Brazil
Volotea Costa Rica,9V,VC9,,Costa Rica
Fly Romania,X5,OTJ,TENDER AIR,Romania
All America CO,0Y,7ZC,,Colombia
All America MX,0M,0MM,,Mexico
FOX Linhas Aereas,FX,FOX,,Brazil
Via Conectia Airlines,6V,CZV,,Uruguay
City Airways,E8,GTA,CITY AIR,Thailand
Norwegian Long Haul AS,DU,NLH,NORSTAR,Norway
TransNusa Air,M8,TNU,TRANSNUSA,Indonesia
Tomp Airlines,ZT,T9P,,Chile
Global Airlines,0G,GA0,,Argentina
Air Vistara,UK,VTI,,India
TransRussiaAirlines,1E,RGG,,Russia
REXAIR VIRTUEL,RR,RXR,Rexair,France
WestJet Encore,WR,WEN,Encore,Canada
Air Pegasus,OP,PPL,,India
International Europe,9I,INE,,Spain
V Air,ZV,VAX,,Taiwan
Boutique Air (Priv),4B,BTQ,,United States
VOLOTEA Airways,V7,VOE,,Spain
INAVIA Internacional,Z5,IIR,,Argentina
Liberty Airways,LE,LTY,,United States
Bassaka airlines,5B,BSX,5B,Cambodia
VIA Líneas Aéreas,V1,VIA,,Argentina
GermanXL,GX,GXG,,Germany
Fly France,FF,FRF,,France
Europe Jet,EX,EU9,,France
World Scale Airlines,W3,WSS,,United States
All America US,AG,SSA,,United States
BudgetAir,1K,BG1,,Germany
Fly One,F5,FI5,,Moldova
All America BOPY,0P,PYB,BOPY,Paraguay
Svyaz Rossiya,7R,SJM,RussianConnecty,Russia
